Class, Attribute Name, pluck, nativepluck, nativepluck_raw_to_sql, nativepluck_raw_string
Arel::Nodes::JoinSource, jsonb_col,1,1,1,0
Arel::Nodes::JoinSource, created_at,1,1,1,0
Arel::Nodes::JoinSource, updated_at,1,1,1,0
Arel::Nodes::Limit, id,1,1,1,0
Arel::Nodes::Limit, integer_col,1,1,1,0
Arel::Nodes::Limit, string_col,1,1,1,0
Arel::Nodes::Limit, datetime_col,1,1,1,0
Arel::Nodes::Limit, float_col,1,1,1,0
Arel::Nodes::Limit, json_col,1,1,1,0
Arel::Nodes::Limit, jsonb_col,1,1,1,0
Arel::Nodes::Limit, created_at,1,1,1,0
Arel::Nodes::Limit, updated_at,1,1,1,0
Arel::Nodes::SelectCore, id,1,1,1,0
Arel::Nodes::SelectCore, integer_col,1,1,1,0
Arel::Nodes::SelectCore, string_col,1,1,1,0
Arel::Nodes::SelectCore, datetime_col,1,1,1,0
Arel::Nodes::SelectCore, float_col,1,1,1,0
Arel::Nodes::SelectCore, json_col,1,1,1,0
Arel::Nodes::SelectCore, jsonb_col,1,1,1,0
Arel::Nodes::SelectCore, created_at,1,1,1,0
Arel::Nodes::SelectCore, updated_at,1,1,1,0
Arel::Nodes::SelectStatement, id,1,1,1,0
Arel::Nodes::SelectStatement, integer_col,1,1,1,0
Arel::Nodes::SelectStatement, string_col,1,1,1,0
Arel::Nodes::SelectStatement, datetime_col,1,1,1,0
Arel::Nodes::SelectStatement, float_col,1,1,1,0
Arel::Nodes::SelectStatement, json_col,1,1,1,0
Arel::Nodes::SelectStatement, jsonb_col,1,1,1,0
Arel::Nodes::SelectStatement, created_at,1,1,1,0
Arel::Nodes::SelectStatement, updated_at,1,1,1,0
Arel::Nodes::Top, id,1,1,1,0
Arel::Nodes::Top, integer_col,1,1,1,0
Arel::Nodes::Top, string_col,1,1,1,0
Arel::Nodes::Top, datetime_col,1,1,1,0
Arel::Nodes::Top, float_col,1,1,1,0
Arel::Nodes::Top, json_col,1,1,1,0
Arel::Nodes::Top, jsonb_col,1,1,1,0
Arel::Nodes::Top, created_at,1,1,1,0
