Class, Attribute Name, pluck, nativepluck, nativepluck_raw_to_sql, nativepluck_raw_string
Arel::Collectors::Composite, created_at,40,0,0,0
Arel::Collectors::Composite, updated_at,40,0,0,0
Arel::Collectors::SQLString, id,40,40,40,0
Arel::Collectors::SQLString, integer_col,40,40,40,0
Arel::Collectors::SQLString, string_col,40,40,40,0
Arel::Collectors::SQLString, datetime_col,40,40,40,0
Arel::Collectors::SQLString, float_col,40,40,40,0
Arel::Collectors::SQLString, json_col,40,40,40,0
Arel::Collectors::SQLString, jsonb_col,40,40,40,0
Arel::Collectors::SQLString, created_at,40,40,40,0
Arel::Collectors::SQLString, updated_at,40,40,40,0
Arel::Nodes::BindParam, id,40,40,40,0
Arel::Nodes::BindParam, integer_col,40,40,40,0
Arel::Nodes::BindParam, string_col,40,40,40,0
Arel::Nodes::BindParam, datetime_col,40,40,40,0
Arel::Nodes::BindParam, float_col,40,40,40,0
Arel::Nodes::BindParam, json_col,40,40,40,0
Arel::Nodes::BindParam, jsonb_col,40,40,40,0
Arel::Nodes::BindParam, created_at,40,40,40,0
Arel::Nodes::BindParam, updated_at,40,40,40,0
Arel::Nodes::Descending, id,40,40,40,0
Arel::Nodes::Descending, integer_col,40,40,40,0
Arel::Nodes::Descending, string_col,40,40,40,0
Arel::Nodes::Descending, datetime_col,40,40,40,0
Arel::Nodes::Descending, float_col,40,40,40,0
Arel::Nodes::Descending, json_col,40,40,40,0
Arel::Nodes::Descending, jsonb_col,40,40,40,0
Arel::Nodes::Descending, created_at,40,40,40,0
Arel::Nodes::Descending, updated_at,40,40,40,0
Arel::Nodes::JoinSource, id,40,40,40,0
Arel::Nodes::JoinSource, integer_col,40,40,40,0
Arel::Nodes::JoinSource, string_col,40,40,40,0
Arel::Nodes::JoinSource, datetime_col,40,40,40,0
Arel::Nodes::JoinSource, float_col,40,40,40,0
Arel::Nodes::JoinSource, json_col,40,40,40,0
Arel::Nodes::JoinSource, jsonb_col,40,40,40,0
Arel::Nodes::JoinSource, created_at,40,40,40,0
Arel::Nodes::JoinSource, updated_at,40,40,40,0
Arel::Nodes::Limit, id,40,40,40,0
Arel::Nodes::Limit, integer_col,40,40,40,0
Arel::Nodes::Limit, string_col,40,40,40,0
Arel::Nodes::Limit, datetime_col,40,40,40,0
Arel::Nodes::Limit, float_col,40,40,40,0
Arel::Nodes::Limit, json_col,40,40,40,0
Arel::Nodes::Limit, jsonb_col,40,40,40,0
Arel::Nodes::Limit, created_at,40,40,40,0
Arel::Nodes::Limit, updated_at,40,40,40,0
Arel::Nodes::Top, id,40,40,40,0
Arel::Nodes::Top, integer_col,40,40,40,0
Arel::Nodes::Top, string_col,40,40,40,0
Arel::Nodes::Top, datetime_col,40,40,40,0
Arel::Nodes::Top, float_col,40,40,40,0
Arel::Nodes::Top, json_col,40,40,40,0
Arel::Nodes::Top, jsonb_col,40,40,40,0
Arel::Nodes::Top, created_at,40,40,40,0
Arel::Nodes::Top, updated_at,40,40,40,0
Arel::SelectManager, id,40,40,40,0
Arel::SelectManager, integer_col,40,40,40,0
Arel::SelectManager, string_col,40,40,40,0
Arel::SelectManager, datetime_col,40,40,40,0
Arel::SelectManager, float_col,40,40,40,0
Arel::SelectManager, json_col,40,40,40,0
Arel::SelectManager, jsonb_col,40,40,40,0
Arel::SelectManager, created_at,40,40,40,0
Arel::SelectManager, updated_at,40,40,40,0
PG::TypeMapByColumn, id,40,40,40,40
PG::TypeMapByColumn, integer_col,40,40,40,40
PG::TypeMapByColumn, string_col,40,40,40,40
PG::TypeMapByColumn, datetime_col,40,40,40,40
PG::TypeMapByColumn, float_col,40,40,40,40
PG::TypeMapByColumn, json_col,40,40,40,40
PG::TypeMapByColumn, jsonb_col,40,40,40,40
PG::TypeMapByColumn, created_at,40,40,40,40
PG::TypeMapByColumn, updated_at,40,40,40,40
Rational, datetime_col,80800,0,0,0
Rational, created_at,80800,0,0,0
Rational, updated_at,80800,0,0,0
JSON::Ext::Parser, json_col,1179680,1179680,1179680,1179680
JSON::Ext::Parser, jsonb_col,1179680,1179680,1179680,1179680
Arel::Collectors::SubstituteBinds, id,0,40,40,0
Arel::Collectors::SubstituteBinds, integer_col,0,40,40,0
Arel::Collectors::SubstituteBinds, string_col,0,40,40,0
Arel::Collectors::SubstituteBinds, datetime_col,0,40,40,0
Arel::Collectors::SubstituteBinds, float_col,0,40,40,0
Arel::Collectors::SubstituteBinds, json_col,0,40,40,0
Arel::Collectors::SubstituteBinds, jsonb_col,0,40,40,0
Arel::Collectors::SubstituteBinds, created_at,0,40,40,0
Arel::Collectors::SubstituteBinds, updated_at,0,40,40,0
