Attribute Name, Class,pluck,nativepluck,nativepluck_raw_to_sql,nativepluck_raw_string
json_col,Arel::Nodes::SelectStatement,88,88,88,0
json_col,ActiveModel::Attribute::WithCastValue,80,80,80,0
json_col,Arel::Attributes::Attribute,80,80,80,0
json_col,ActiveRecord::Result,72,0,0,0
json_col,Arel::Collectors::Bind,40,0,0,0
json_col,Arel::Collectors::Composite,40,0,0,0
json_col,Arel::Collectors::SQLString,40,40,40,0
json_col,Arel::Nodes::BindParam,40,40,40,0
json_col,Arel::Nodes::Descending,40,40,40,0
json_col,Arel::Nodes::JoinSource,40,40,40,0
json_col,Arel::Nodes::Limit,40,40,40,0
json_col,Arel::Nodes::Top,40,40,40,0
json_col,Arel::SelectManager,40,40,40,0
json_col,PG::TypeMapByColumn,40,40,40,40
json_col,Arel::Collectors::SubstituteBinds,0,40,40,0
jsonb_col,JSON::Ext::Parser,1179680,1179680,1179680,1179680
jsonb_col,Hash,583880,582728,582728,581760
jsonb_col,String,429915,428042,427882,427282
jsonb_col,Array,221408,10760,10480,8320
jsonb_col,PG::Result,139520,139520,139520,139520
jsonb_col,ActiveRecord::Relation,480,480,480,0
jsonb_col,MatchData,280,0,0,0
jsonb_col,Time,258,0,0,0
jsonb_col,Arel::Nodes::SelectCore,104,104,104,0
jsonb_col,ActiveSupport::Notifications::Event,96,0,0,0
jsonb_col,Arel::Nodes::SelectStatement,88,88,88,0
jsonb_col,ActiveModel::Attribute::WithCastValue,80,80,80,0
jsonb_col,Arel::Attributes::Attribute,80,80,80,0
jsonb_col,ActiveRecord::Result,72,0,0,0
jsonb_col,Arel::Collectors::Bind,40,0,0,0
jsonb_col,Arel::Collectors::Composite,40,0,0,0
jsonb_col,Arel::Collectors::SQLString,40,40,40,0
jsonb_col,Arel::Nodes::BindParam,40,40,40,0
jsonb_col,Arel::Nodes::Descending,40,40,40,0
jsonb_col,Arel::Nodes::JoinSource,40,40,40,0
jsonb_col,Arel::Nodes::Limit,40,40,40,0
jsonb_col,Arel::Nodes::Top,40,40,40,0
jsonb_col,Arel::SelectManager,40,40,40,0
jsonb_col,PG::TypeMapByColumn,40,40,40,40
jsonb_col,Arel::Collectors::SubstituteBinds,0,40,40,0
created_at,String,391503,760,600,0
created_at,Array,302208,10760,10480,8320
created_at,MatchData,283080,0,0,0
created_at,Time,246698,86860,86860,86860
created_at,Rational,80800,0,0,0
created_at,PG::Result,51456,51456,51456,51456
created_at,Hash,2120,968,968,0
created_at,ActiveRecord::Relation,480,480,480,0
created_at,Arel::Nodes::SelectCore,104,104,104,0
created_at,ActiveSupport::Notifications::Event,96,0,0,0
created_at,Arel::Nodes::SelectStatement,88,88,88,0
created_at,ActiveModel::Attribute::WithCastValue,80,80,80,0
created_at,Arel::Attributes::Attribute,80,80,80,0
created_at,ActiveRecord::Result,72,0,0,0
created_at,Arel::Collectors::Bind,40,0,0,0
created_at,Arel::Collectors::Composite,40,0,0,0
created_at,Arel::Collectors::SQLString,40,40,40,0
created_at,Arel::Nodes::BindParam,40,40,40,0
created_at,Arel::Nodes::Descending,40,40,40,0
created_at,Arel::Nodes::JoinSource,40,40,40,0
created_at,Arel::Nodes::Limit,40,40,40,0
created_at,Arel::Nodes::Top,40,40,40,0
created_at,Arel::SelectManager,40,40,40,0
created_at,PG::TypeMapByColumn,40,40,40,40
created_at,Arel::Collectors::SubstituteBinds,0,40,40,0
updated_at,String,391504,760,600,0
updated_at,Array,302208,10760,10480,8320
updated_at,MatchData,283080,0,0,0
updated_at,Time,246698,86860,86860,86860
updated_at,Rational,80800,0,0,0
updated_at,PG::Result,51456,51456,51456,51456
updated_at,Hash,2120,968,968,0
updated_at,ActiveRecord::Relation,480,480,480,0
updated_at,Arel::Nodes::SelectCore,104,104,104,0
updated_at,ActiveSupport::Notifications::Event,96,0,0,0
updated_at,Arel::Nodes::SelectStatement,88,88,88,0
updated_at,ActiveModel::Attribute::WithCastValue,80,80,80,0
updated_at,Arel::Attributes::Attribute,80,80,80,0
updated_at,ActiveRecord::Result,72,0,0,0
updated_at,Arel::Collectors::Bind,40,0,0,0
updated_at,Arel::Collectors::Composite,40,0,0,0
updated_at,Arel::Collectors::SQLString,40,40,40,0
updated_at,Arel::Nodes::BindParam,40,40,40,0
updated_at,Arel::Nodes::Descending,40,40,40,0
updated_at,Arel::Nodes::JoinSource,40,40,40,0
updated_at,Arel::Nodes::Limit,40,40,40,0
updated_at,Arel::Nodes::Top,40,40,40,0
updated_at,Arel::SelectManager,40,40,40,0
updated_at,PG::TypeMapByColumn,40,40,40,40
updated_at,Arel::Collectors::SubstituteBinds,0,40,40,0
